# source: papers/2026-07-helix-orthogonal-partner/helix_orthogonal_partner.tex; generated by: code/2026-07-helix-orthogonal-partner/keystone.py
eigenvalue,multiplicity,decimal,is_irrational
0,2,0.0,False
+sqrt5,1,2.236067977499789696409173668731276235441,True
-sqrt5,1,-2.236067977499789696409173668731276235441,True
