# source: papers/2026-07-helix-orthogonal-partner/helix_orthogonal_partner.tex; generated by: code/2026-07-helix-orthogonal-partner/flip.py
C,D=1+4C,D_sign,root_type,field,channel_face,gram_leading_minor,gram_det,trace_form_signature
1,5,positive,two real,real quadratic Q(sqrt D),terrain (growth),2,5,"(2,0) Riemannian"
1/4,2,positive,two real,real quadratic Q(sqrt D),terrain (growth),2,2,"(2,0) Riemannian"
0,1,positive,two real,real quadratic Q(sqrt D),terrain (growth),2,1,"(2,0) Riemannian"
-1/4,0,zero,double root -1/2,Q (degenerate),the fold,2,0,degenerate (det 0)
-1/2,-1,negative,complex conjugate pair,imaginary quadratic,rotation,2,-1,"(1,1) Lorentzian"
-1,-3,negative,complex conjugate pair,imaginary quadratic,rotation,2,-3,"(1,1) Lorentzian"
-2,-7,negative,complex conjugate pair,imaginary quadratic,rotation,2,-7,"(1,1) Lorentzian"
