# source: papers/2026-07-helix-orthogonal-partner/helix_orthogonal_partner.tex; generated by: code/2026-07-helix-orthogonal-partner/obstruction.py
k,mahler_closed_form,mahler_decimal,greater_than_1,equals_floor_1,matches_closed_form_residual
0,phi^(2^0)=phi^1,1.61803398874989484820458683436563811772,True,False,0
1,phi^(2^1)=phi^2,2.61803398874989484820458683436563811772,True,False,0
2,phi^(2^2)=phi^4,6.854101966249684544613760503096914353161,True,False,0
3,phi^(2^3)=phi^8,46.97871376374779181229632352167840047213,True,False,0
4,phi^(2^4)=phi^16,2206.99954689614621517792720551888482219,True,False,0
5,phi^(2^5)=phi^32,4870846.999999794696897685342580178802573,True,False,0
6,phi^(2^6)=phi^64,23725150497406.99999999999995785063617998,True,False,0
