# source: papers/2026-06-salem-slot/salem_slot.tex; generated by: code/2026-06-salem-slot/make_superselection.py
object,poly,root_args_over_pi,all_on_half_pi_Z,A
real seed phi,x**2 - x - 1,0.0000;1.0000,True,1
K (imaginary pair),x**4 + 5*x**2 - 5,-0.5000;0.0000;0.5000;1.0000,True,1
Lehmer Salem (deg 10),x^10+x^9-x^7-x^6-x^5-x^4-x^3+x+1,irrational multiples of pi present,False,0
