# source: papers/2026-06-salem-slot/salem_slot.tex; generated by: code/2026-06-salem-slot/make_pisot_factorization.py
name,defining_poly,number,tau0_redirection,note
golden ratio phi (least Pisot limit point),x^2 - x - 1,1.618033989,2.236067977,tau0 = sqrt5 = 2.236068 (least Pisot-limit accumulation)
plastic number mu_P (smallest Pisot),x^3 - x - 1,1.324717957,2.079595623,tau0 = 2.079596 > 2 (a redirection into grow)
