# source: papers/2026-06-emission-gap/emission_gap_paper.tex; generated by: code/2026-06-emission-gap/angle_confinement.py
seed,root_real,root_imag,modulus,argument_deg,arg_mod_90
phi,-0.6180339887498948,0.0,0.6180339887498948,180.0,0.0
phi,1.618033988749895,0.0,1.618033988749895,0.0,0.0
tau,-1.618033988749895,0.0,1.618033988749895,180.0,0.0
tau,0.6180339887498948,0.0,0.6180339887498948,0.0,0.0
sqrt2,-1.414213562373095,0.0,1.414213562373095,180.0,0.0
sqrt2,1.414213562373095,0.0,1.414213562373095,0.0,0.0
sqrt3,-1.732050807568877,0.0,1.732050807568877,180.0,0.0
sqrt3,1.732050807568877,0.0,1.732050807568877,0.0,0.0
sqrt5,-2.236067977499790,0.0,2.236067977499790,180.0,0.0
sqrt5,2.236067977499790,0.0,2.236067977499790,0.0,0.0
gap,0.1458980337503155,0.0,0.1458980337503155,0.0,0.0
gap,6.854101966249685,0.0,6.854101966249685,0.0,0.0
K,-0.9241763718304448,0.0,0.9241763718304448,180.0,0.0
K,0.9241763718304448,0.0,0.9241763718304448,0.0,0.0
K,0.0,-2.419525153051665,2.419525153051665,270.0,0.0
K,0.0,2.419525153051665,2.419525153051665,90.0,0.0
