# source: papers/2026-06-vector-substrate/vector_substrate.tex; generated by: code/2026-06-vector-substrate/capacity_heights.py
Dmax,Hmax,formula_count,enumerated_count,check
2,1,12,12,OK
3,2,155,155,OK
