# source: papers/2026-06-lehmers-box/lehmers_box.tex; generated by: code/2026-06-lehmers-box/tracedown_door.py
name,degree,tracedown_T,totally_real,roots_above_2,roots_in_open_minus2_2,expected_inside,is_flip_straddle_salem
beta_4,4,t**2 - t - 3,True,1,1,1,True
Lehmer_L,10,t**5 + t**4 - 5*t**3 - 5*t**2 + 4*t + 3,True,1,4,4,True
