# source: papers/2026-06-lehmers-box/lehmers_box.tex; generated by: code/2026-06-lehmers-box/lattice_walls.py
seed,minimal_polynomial,root_real,root_imag,modulus,argument_deg,on_unit_circle,arg_in_halfpi_Z
phi,x**2 - x - 1,-0.61803398875,0.0,0.61803398875,180.0,False,True
phi,x**2 - x - 1,1.61803398875,0.0,1.61803398875,0.0,False,True
tau,x**2 + x - 1,-1.61803398875,0.0,1.61803398875,180.0,False,True
tau,x**2 + x - 1,0.61803398875,0.0,0.61803398875,0.0,False,True
sqrt2,x**2 - 2,-1.41421356237,0.0,1.41421356237,180.0,False,True
sqrt2,x**2 - 2,1.41421356237,0.0,1.41421356237,0.0,False,True
sqrt3,x**2 - 3,-1.73205080757,0.0,1.73205080757,180.0,False,True
sqrt3,x**2 - 3,1.73205080757,0.0,1.73205080757,0.0,False,True
sqrt5,x**2 - 5,-2.2360679775,0.0,2.2360679775,180.0,False,True
sqrt5,x**2 - 5,2.2360679775,0.0,2.2360679775,0.0,False,True
gap,x**2 - 7*x + 1,0.14589803375,0.0,0.14589803375,0.0,False,True
gap,x**2 - 7*x + 1,6.85410196625,0.0,6.85410196625,0.0,False,True
K,x**4 + 5*x**2 - 5,-0.92417637183,0.0,0.92417637183,180.0,False,True
K,x**4 + 5*x**2 - 5,0.92417637183,0.0,0.92417637183,0.0,False,True
K,x**4 + 5*x**2 - 5,0.0,-2.41952515305,2.41952515305,270.0,False,True
K,x**4 + 5*x**2 - 5,0.0,2.41952515305,2.41952515305,90.0,False,True
