# source: papers/2026-06-lehmers-box/lehmers_box.tex; generated by: code/2026-06-lehmers-box/floor_wall.py
b,c,discriminant,mahler_measure,in_open_strip_1_phi,is_minimiser_above_1
-6,3,24,5.4494897427831781,False,False
-6,4,20,5.2360679774997897,False,False
-6,5,16,5.0,False,False
-6,6,12,6.0,False,False
-6,7,8,7.0,False,False
-6,8,4,8.0,False,False
-6,9,0,9.0,False,False
-6,10,-4,10.0,False,False
-6,11,-8,11.0,False,False
-6,12,-12,12.0,False,False
-5,-12,73,12.0,False,False
-5,-11,69,11.0,False,False
-5,-10,65,10.0,False,False
-5,-9,61,9.0,False,False
-5,-8,57,8.0,False,False
-5,-7,53,7.0,False,False
-5,-6,49,6.0,False,False
-5,-5,45,5.85410196624968454,False,False
-5,-4,41,5.70156211871642434,False,False
-5,-3,37,5.54138126514910984,False,False
-5,-2,33,5.37228132326901433,False,False
-5,-1,29,5.19258240356725202,False,False
-5,0,25,5.0,False,False
-5,1,21,4.79128784747792,False,False
-5,2,17,4.56155281280883027,False,False
-5,3,13,4.30277563773199465,False,False
-5,4,9,4.0,False,False
-5,5,5,5.0,False,False
-5,6,1,6.0,False,False
-5,7,-3,7.0,False,False
-5,8,-7,8.0,False,False
-5,9,-11,9.0,False,False
-5,10,-15,10.0,False,False
-5,11,-19,11.0,False,False
-5,12,-23,12.0,False,False
-4,-12,64,12.0,False,False
-4,-11,60,11.0,False,False
-4,-10,56,10.0,False,False
-4,-9,52,9.0,False,False
-4,-8,48,8.0,False,False
-4,-7,44,7.0,False,False
-4,-6,40,6.0,False,False
-4,-5,36,5.0,False,False
-4,-4,32,4.8284271247461901,False,False
-4,-3,28,4.64575131106459059,False,False
-4,-2,24,4.4494897427831781,False,False
-4,-1,20,4.2360679774997897,False,False
-4,0,16,4.0,False,False
-4,1,12,3.73205080756887729,False,False
-4,2,8,3.41421356237309505,False,False
-4,3,4,3.0,False,False
-4,4,0,4.0,False,False
-4,5,-4,5.0,False,False
-4,6,-8,6.0,False,False
-4,7,-12,7.0,False,False
-4,8,-16,8.0,False,False
-4,9,-20,9.0,False,False
-4,10,-24,10.0,False,False
-4,11,-28,11.0,False,False
-4,12,-32,12.0,False,False
-3,-12,57,12.0,False,False
-3,-11,53,11.0,False,False
-3,-10,49,10.0,False,False
-3,-9,45,9.0,False,False
-3,-8,41,8.0,False,False
-3,-7,37,7.0,False,False
-3,-6,33,6.0,False,False
-3,-5,29,5.0,False,False
-3,-4,25,4.0,False,False
-3,-3,21,3.79128784747792,False,False
-3,-2,17,3.56155281280883027,False,False
-3,-1,13,3.30277563773199465,False,False
-3,0,9,3.0,False,False
-3,1,5,2.61803398874989485,False,False
-3,2,1,2.0,False,False
-3,3,-3,3.0,False,False
-3,4,-7,4.0,False,False
-3,5,-11,5.0,False,False
-3,6,-15,6.0,False,False
-3,7,-19,7.0,False,False
-3,8,-23,8.0,False,False
-3,9,-27,9.0,False,False
-3,10,-31,10.0,False,False
-3,11,-35,11.0,False,False
-3,12,-39,12.0,False,False
-2,-12,52,12.0,False,False
-2,-11,48,11.0,False,False
-2,-10,44,10.0,False,False
-2,-9,40,9.0,False,False
-2,-8,36,8.0,False,False
-2,-7,32,7.0,False,False
-2,-6,28,6.0,False,False
-2,-5,24,5.0,False,False
-2,-4,20,4.0,False,False
-2,-3,16,3.0,False,False
-2,-2,12,2.73205080756887729,False,False
-2,-1,8,2.41421356237309505,False,False
-2,0,4,2.0,False,False
-2,1,0,1.0,False,False
-2,2,-4,2.0,False,False
-2,3,-8,3.0,False,False
-2,4,-12,4.0,False,False
-2,5,-16,5.0,False,False
-2,6,-20,6.0,False,False
-2,7,-24,7.0,False,False
-2,8,-28,8.0,False,False
-2,9,-32,9.0,False,False
-2,10,-36,10.0,False,False
-2,11,-40,11.0,False,False
-2,12,-44,12.0,False,False
-1,-12,49,12.0,False,False
-1,-11,45,11.0,False,False
-1,-10,41,10.0,False,False
-1,-9,37,9.0,False,False
