# source: papers/2026-06-operator-algebra/operator-algebra-whitepaper.tex; generated by: code/2026-06-operator-algebra/mahler_character.py
seed,M_A,M_psi2_A,M_A_squared,squares_ok
golden,1/2 + sqrt(5)/2,sqrt(5)/2 + 3/2,sqrt(5)/2 + 3/2,True
x^2-2,2,4,4,True
x^2-3,3,9,9,True
x^2-5,5,25,25,True
K,5/2 + 3*sqrt(5)/2,15*sqrt(5)/2 + 35/2,15*sqrt(5)/2 + 35/2,True
