# source: papers/2026-07-relational-charge/relational_charge_paper.tex; generated by: code/2026-07-relational-charge/descent_laws.py
m,k,lcm,gcd,Delta_tensor_order,lcm_law_holds,crt_surjective,kernel_order,kernel_cyclic_gen_m_over_d_minus_k_over_d,safe_composition,coprime
2,3,6,1,6,yes,yes,1,yes,yes (coprime),yes
4,6,12,2,12,yes,yes,2,yes,no,no
3,5,15,1,15,yes,yes,1,yes,yes (coprime),yes
6,10,30,2,30,yes,yes,2,yes,no,no
4,4,4,4,4,yes,yes,4,yes,no,no
12,8,24,4,24,yes,yes,4,yes,no,no
9,6,18,3,18,yes,yes,3,yes,no,no
5,5,5,5,5,yes,yes,5,yes,no,no
10,15,30,5,30,yes,yes,5,yes,no,no
