# source: papers/2026-07-relational-charge/relational_charge_paper.tex; generated by: code/2026-07-relational-charge/pinning_tensor.py
object,degree,irreducible,dominant_modulus_gap,unique_dominant_modulus,all_roots_one_shell,pinning_applies,contact_signature,inert
beta4,4,yes,0.722084,yes,no,yes,{Phi_1^4},yes
S6,6,yes,0.401268,yes,no,yes,{Phi_1^6},yes
S8,8,yes,0.280638,yes,no,yes,{Phi_1^8},yes
Lehmer,10,yes,0.176281,yes,no,yes,{Phi_1^10},yes
plastic x^3-x-1,3,yes,0.455881,yes,no,yes,{Phi_1^3},yes
x^4-2 (sharpness),4,yes,0.0,no,yes,no,"{Phi_1^4, Phi_2^4, Phi_4^4}",no
x^4+x^2+2 (twisted shell),4,yes,0.0,no,yes,no,"{Phi_1^4, Phi_2^4}",no
