# source: papers/2026-07-relational-charge/relational_charge_paper.tex; generated by: code/2026-07-relational-charge/salem_certificates.py
object,kind,degree,reciprocal,irreducible,trace_sturm_pattern,trace_pattern_ok,is_salem_certificate,mahler,modulus_gt1,modulus_lt1,modulus_eq1,rat_degree,contact_signature,inert
beta4,salem,4,yes,yes,"(1,0,1)",yes,yes,1.72208380573904225,1,1,2,16,{Phi_1^4},yes
S6,salem,6,yes,yes,"(1,0,2)",yes,yes,1.40126836793985492,1,1,4,36,{Phi_1^6},yes
S8,salem,8,yes,yes,"(1,0,3)",yes,yes,1.2806381562677576,1,1,6,64,{Phi_1^8},yes
Lehmer,salem,10,yes,yes,"(1,0,4)",yes,yes,1.17628081825991751,1,1,8,100,{Phi_1^10},yes
plastic x^3-x-1,pisot,3,no,yes,n/a (odd degree),n/a,"n/a (Pisot, not Salem)",1.32471795724474603,1,2,0,9,{Phi_1^3},yes
