# source: papers/2026-06-charge-measure-coupling/charge-measure-coupling-whitepaper-v4.tex; generated by: code/2026-06-charge-measure-coupling/finite_scans.py
mahler_closed_form,count,example_poly_coeffs
1,1,1 1 1 1 1
phi^4,2,1 -1 6 4 1
