# source: papers/2026-06-lambda-2c/lambda_2c_paper.tex; generated by: code/2026-06-lambda-2c/identity_lambda_2c.py
field,power_basis,G00=Tr(1),G01=Tr(theta),G11=Tr(theta^2),det_G
Q(sqrt2),"{1,theta}",2,0,4,8
Q(sqrt5),"{1,phi}",2,1,3,5
