# source: papers/2026-06-lambda-2c/lambda_2c_paper.tex; generated by: code/2026-06-lambda-2c/gate_forced.py
minpoly,b,c,discriminant,mahler
x^2-x-1,-1,-1,5,1.618033988749895
x^2+x-1,1,-1,5,1.618033988749895
